Identifier,name,iso_region,State Abbreviation,State,City,Wikipedia Description,type,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,column_13,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
KCOU,Columbia Regional Airport,US-MO,MO,Missouri,Columbia,,medium_airport,38.8181,-92.219597,889,NA,US,,yes,KCOU,COU,KCOU,COU,,https://en.wikipedia.org/wiki/Columbia_Regional_Airport,
KCPK,Chesapeake Regional Airport,US-VA,VA,Virginia,Chesapeake,,small_airport,36.6656,-76.320702,19,NA,US,,no,,,KCPK,CPK,,https://en.wikipedia.org/wiki/Chesapeake_Regional_Airport,
KCPR,Casper-Natrona County International Airport,US-WY,WY,Wyoming,Casper,,medium_airport,42.908001,-106.463997,5350,NA,US,,yes,KCPR,CPR,KCPR,CPR,,https://en.wikipedia.org/wiki/Natrona_County_International_Airport,
KCPS,St Louis Downtown Airport,US-IL,IL,Illinois,Cahokia/St Louis,,small_airport,38.5707016,-90.15619659,413,NA,US,,no,KCPS,CPS,KCPS,CPS,,https://en.wikipedia.org/wiki/St._Louis_Downtown_Airport,
KCPT,Cleburne Regional Airport,US-TX,TX,Texas,Cleburne,,small_airport,32.353802,-97.433701,854,NA,US,,no,,,KCPT,CPT,,https://en.wikipedia.org/wiki/Cleburne_Regional_Airport,"Cleburne Municipal, F18"
KCPU,Calaveras Co Maury Rasmussen Field,US-CA,CA,California,San Andreas,,small_airport,38.14609909,-120.6480026,1325,NA,US,,no,,,KCPU,CPU,,https://en.wikipedia.org/wiki/Calaveras_County_Airport,
KCQX,Chatham Municipal Airport,US-MA,MA,Massachusetts,Chatham,,small_airport,41.68840027,-69.98950195,68,NA,US,,no,,,KCQX,CQX,,https://en.wikipedia.org/wiki/Chatham_Municipal_Airport,
KCRG,Jacksonville Executive at Craig Airport,US-FL,FL,Florida,Jacksonville,,medium_airport,30.3362999,-81.51439667,41,NA,US,,no,KCRG,CRG,KCRG,CRG,http://www.flyjacksonville.com/content.aspx?id=86,https://en.wikipedia.org/wiki/Jacksonville_Executive_at_Craig_Airport,Craig Municipal Airport
KCRQ,McClellan-Palomar Airport,US-CA,CA,California,Carlsbad,,medium_airport,33.1283,-117.279999,331,NA,US,,yes,KCRQ,CLD,KCRQ,CRQ,,https://en.wikipedia.org/wiki/McClellan-Palomar_Airport,
KCSV,Crossville Memorial Airport Whitson Field,US-TN,TN,Tennessee,Crossville,,medium_airport,35.95131,-85.08499,1881,NA,US,,no,KCSV,CSV,KCSV,CSV,http://www.crossvilletn.gov/index.php/departments/airport,,
